,date,rating,title,review
0,май 2022 г.,"5,0 из 5 кружков",Потрясающе живописный пляж!,"В широком смысле пляж Баваро включает в себя как собственно Баваро, так и пляж Cortecito, и еще более удаленный пляж Arena Gorda.Четких границ между его различными участками нет, ориентиром могут служить только расположенные там отдельные отели или группы отелей.Все вместе это представляет собой очень-очень длинный песчаный пляж, по которому можно очень долго и много гулять, что мы и делали.Некоторые участки более широкие, другие узкие, всюду пальмы, лазурное море, готовая картинка из каталога турбюро - это действительно так.Единственный фейл, который может произойти - это нашествие водорослей (саргассов), они появляются время от времени, их постоянно убирают, но есть периоды, когда их количество просто зашкаливает. Это вопрос океанских течений и везения, вроде бы проблему собираются решать глобально.Тем не менее, высший бал, потрясающе живописный пляж!И, замечу, никаких камней, валунов или гальки, на всем протяжении гигантского пляжа ничего этого просто нет!"
1,апр. 2022 г. • С друзьями,"5,0 из 5 кружков",Шикарный пляж!,"Главный пляж, на котором расположены все основные отели курорта Пунта-Кана. Ежегодно пляж Баваро входит в ТОП-25 лучших пляжей мира.Лазурная вода, белый песок, который не нагревается на солнце. Есть участки пляжа, как в районе отеля Barcelo - там никогда нет волн, всегда штиль и прозрачная вода, а есть участки - как в районе Riu palace Bávaro - там небольшие волны и есть склонённые к воде пальмы. А вот возле отеля Hard rock - большие волны всегда.Но везде свой шарм."
2,март 2022 г.,"5,0 из 5 кружков",Отпуск,"Чистый океан, есть рыба, плавали с черепахой.Чистят каждый день, лежаки с грибочками, есть тень!!!!!"
3,февр. 2022 г.,"4,0 из 5 кружков",Много водослей,"Мелкий песок, хороший заход, но много водорослей, уборка осуществляется, но водорослей не убавляется"
4,янв. 2022 г.,"3,0 из 5 кружков",Неухоженный пляж,"Сам по себе пляж очень неплохой. Красивые фото получаются. Хороший мелкий, почти белый чистый песок, но от водорослей чистят плохо и очень плохо. У каждого отеля своя зона ответственности, всего в одном месте машинная уборка, в остальных пара-тройка ленивых рабочих неспешно гребет, когда отдыхающие уже давно вышли на пляж. Вода теплая, но мутная, местами много травы.  Купаться, в нашем понимании практически невозможно. Глубина по горло примерно в 20 метрах от берега, а уже в 25 уже вовсю шныряют лодки местных рыбаков и извозчиков туристов. Опасно очень! Кафешек, на мой взгляд маловато, невкусно и неоправданно дорого в них, к коктейли добавляет ""паленое"" спиртное. Однажды даже трактор выехал прямо в гущу отдыхающих (см. фото).  Присесть передохнуть негде, только прямо на песок. После захода солнца на берегу становится холодно даже в одежде (всё-таки январь месяц!)), ветер сильный дует постоянно."
5,янв. 2022 г.,"5,0 из 5 кружков",Отличный пляж без волн,"Отличный пляж без волн, вода чистейшая/прозрачная и т.п. Считаю данный пляж одним из самых красивых в Доминикане! "
6,янв. 2022 г. • Для двоих,"5,0 из 5 кружков",Действительно... ,"... роскошный пляж, песок белый, водоросль тёмный, океан голубой, волны большой.Длинный в обе стороны. Престижный! "
7,дек. 2021 г. • Для двоих,"5,0 из 5 кружков",Пляж Баваро,"Отличный пляж,можно гулять в любую сторону .Мы каждый день купались в разных местах.Влево от отеля Whala Bavaro ,метров 500 водорослей нет,есть магазины в которых есть сувениры ,сигары кофе ,какао и алкоголь."
8,дек. 2021 г. • Семейный отдых,"1,0 из 5 кружков","Лететь 12 часов, за такими плохими впечатлениямине стоит ни здоровья, ни денег.","30.12.2021. Впечатлил только песок. Barcelo Bavaro Palace. Ветер 20м/с, всегда. Море с водорослями. Рассвет в 6 ,но полноценно полежать с 9.30 и до 16.00. Бассейн есть и много, летели на море. Отель отлично,  обслуживание: ресепшен, ресторан (никак) очень плохо."
9,дек. 2021 г. • Для двоих,"4,0 из 5 кружков","Те, кто соскучился по морю, не пожалеют","Пляж бесконечный, песочный. Волны не маленькие, океан как-никак. Прозрачность воды везде разная. Где риф подходит к берегу близко, там вода достаточно прозрачная. Где пологий песчаный вход, сами понимаете-волны поднимают песок, вода мутная. Подходите к океану-вода обалденно красивого цвета, входите и плывёте до буйков - мутная от песка у поверхности. У дна спокойней, чуть лучше))). Это для тех кто нырять умеет. Вдоль всего побережья отели. Но не все отели заботятся о чистоте пляжа. Водоросли порой совсем не убирают, а в Саргассовом море- Атлантическом океане они обильно растут. Мы отдыхали в Bahia Principe Grand Bavaro ситуация с пляжем, как описано выше. За рыбками, ежами, скатами ходили 1,5-2 км в сторону Макао. Ныряли, смотрели, снимали видео. Что по поводу акул? Акулы есть, видел сам на дайвинге. У нас напротив отеля где-то в 0.5 км от берега лежит затонувший корабль, там и ныряли. Я б и внимания не обратил (видимость до 10 метров и течение), мне указал инструктор. Две особи сантиметров по 50 длинной (предположительно рифовые) охотились у поверхности на рыбку помельче. Океан, что Вы хотите. Конечно акулы есть. Поэтому не рекомендую в ночное время плавать или плавать далеко от берега. Мало ли кого можно встретить неожиданно. Это их территория, мы всего лишь гости)). Итог: покупаться и здесь можно и очень даже хорошо. Понырять -надо искать. Проплыть соточку баттерфляем - это в бассейне с утрица, пока основная масса туристов 10й сон видит. Приятного Вам отдыха."
