,date,rating,title,review
0,июль 2021 г.,"5,0 из 5 кружков",Одни из самых больших часов мира,"Биг-Бен или Часовая башня Вестминстерского дворца - одна из знаковых достопримечательностей в Лондоне. Высота башни 96 метров, наверх к открытой площадке, на которой находится знаменитый колокол Биг-Бен, ведет узкая винтовая лестница из 334 ступенек. Этот колокол и дал имя часам и самой башне. Часы были запущены в 1859 году, а башня построена на год раньше. До сих пор это одни из самых больших часов мира. Циферблат окаймлён надпись на латинском «Боже, храни нашу королеву Викторию»."
1,март 2020 г. • Для двоих,"1,0 из 5 кружков",Нет Биг Бена,"Вышли на остановке, иду к Биг Бену  а его там нет, реставрация если можно так сказать, один циферблат остался. Так хотелось посмотреть, придётся ехать ещё раз"
2,янв. 2020 г. • Путешествие в одиночку,"5,0 из 5 кружков",Биг-Бен ,Биг Бен встретил 2020 год в строительных лесах. Биг-Бен название часовой башни Вестминстерского дворца. Официальное название башни с 2012 года — Башня Елизаветы
3,янв. 2020 г. • Для двоих,"5,0 из 5 кружков",Печально что на ремонте.,"Прибыли в Лондон и сразу пошли гулять.Через час были у дворца и смотрели на часы)) Биг бен типа наших курантов))Но все затянуто строительными лесами, жаль что не удалось увидеть всю картинку(( зато будет повод вернуться! "
4,сент. 2019 г.,"4,0 из 5 кружков",Поездра в Лондон из Саутгемптона в круизе,"Добрались до Лондона на электричке из порта Саутгемптона, т к  были в круизе по Западной Европе. Жаль конечно, что Биг-Бен на реконструкции, закрыт строительными лесами, но величия его это не отменяет. полюбовались набережной, погуляли, сто фотографий наделали! Приедем еще в следующем круизе! Леса снимут в 2021 г, если я не ошибаюсь."
5,дек. 2018 г.,"5,0 из 5 кружков",Башня Big-Ben,"К сожалению, вся башня Big-Ben была закрыта строительными лесами, открытым был только циферблат.Фотографироваться лучше с противоположного берега Темзы ровно напротив.Если фотографироваться около колеса London Eye будет не очень comme il faut."
6,июль 2019 г. • Для двоих,"4,0 из 5 кружков",Реконструкция портит впечатления ,"Первое место, куда мы отправились в Лондоне, после заселения в наш хостел - был, конечно же, знакомый всему миру Биг Бен или башня Елизаветы) приехали мы на станцию Westminster, выбежали на улицу, а тут такое чудо) Биг Бен весь в лесах, как и здание парламента😱😱😱я, конечно, знала, что он на реконструкции, но не подозревала, что она приняла такие масштабы) всю жизнь мечтала о фото на фоне Биг Бена с красной будкой, но видно не в этот раз) только я могла приехать в Лондон именно в момент реконструкции) очень удачная я)))😊☺️все фото без фильтров, серое небо как стальное в Лондоне) я бы сказала, что оно мрачнее, чем в Питере) ✅несмотря на разочарование от реконструкции, которая очень портит общее впечатление, архитектура здания парламента и башни поражает своим изяществом и утонченностью) ❗️однако, вживую Биг Бен как-то смотрится меньше, чем представляется по фото из учебника по Английскому. "
7,сент. 2019 г. • Для двоих,"2,0 из 5 кружков",Биг Бен,При посещении Лондона Биг Бен был в лесах и полюбоваться не пришлось. Очень много народу и идут строительные работы
8,июль 2019 г. • Семейный отдых,"5,0 из 5 кружков",Лондон без Биг Бена,"Мы были хорошо подготовлены и проинформированы, что Биг Бен на реконструкции, но идя на Лондонский глаз проходили мимо. Жаль конечно что не увидели его во всей красе, будет повод вернуться еще раз)))"
9,июль 2019 г. • С друзьями,"4,0 из 5 кружков",На ремонте,"Биг бен до 21 года на ремонте, оттого здание парламента не смотрится без него. В городе много ремонтных работ. "
