,date,rating,title,review
0,нояб. 2019 г.,"5,0 из 5 кружков",Английская Англия недалеко от шумного мегаполиса,"Отличное место, контрастирующее и ""оттеняющее""  по впечатлениям    сам Лондон. Конечно, занимательны  и обсерватория, и парк, и ""Катти Сарк""  неожиданно  любопытна  (пошли за компанию с сыном, но   нисколько не пожалели).  Но больше всего оставила впечатление сама мироутворенная атмосфера милого  небольшого городка  с его тихими улочками, почти домашними пабами.  Именно там, а не в Лондоне, вы можете со вкусом  пообедать  воскресным ростбифом,  или  составить свое представление  о традиционных английских пирогах.  Путь  туда и обратно на кораблике по Темзе - отдельное удовольствие... Рекомендую однозначно!"
1,июль 2019 г. • С друзьями,"5,0 из 5 кружков",Побывать обязательно.,"Выделите день для поездки в Гринвич. Катти Сарк, обсерватория, нулевой меридиан, воено морской музей, есть ещё места, но у нас кончились силы. Морской музей бесплатный, очень впечатляющий. Парк огромный, красивый, с шикарным видом на Лондон. Можно приплыть на катере, можно на метро."
2,май 2019 г. • Семейный отдых,"4,0 из 5 кружков",Меридиан и местный рынок ,"Билеты в Гринвич лучше покупать на их сайте - так дешевле, чем непосредственно в кассе. Можно купить пакет из нескольких услуг. Но мы решили пойти только в саму обсерваторию. Доехали на речном трамвайчике Thames clipper , платили картой oyster. Она умная, не смотря на то, что ехали с пересадкой у Тауэра, списали 7 фунтов в одну сторону. Столько же будет стоить обратно. На входе в обсерваторию всем выдают аудио-гиды, настраивают на нужный язык. Русский есть. Гид интересный - хотя казалось бы проходишь практически по пустым комнатам в начале. Дальше пытаются об’яснить дилемму определения широты и долготы на море в прошлые века. Война между астрономами и часовщиками - кто же получит главный приз? Незадолго до часа дня всех приглашают выйти на улицу, тк в это время будет падать шар с башни, отмечая точное время. Мы не очень поняли куда нас зовут, а отзывы не прочитали заранее. В итоге остались внутри, и только спустя какое-то время поняли, что пропустили главную фишку дня. Ну что ж ... Во дворике на линии меридиана очень много народу, но периодически они разбегаются и уже посвободнее можно сделать фото. После посещения обсерватории можно пойти в планетарий на различные фильмы или погулять по парку. Но у нас такой цели не было - мы просто прошли по парку вниз в поисках ресторана. Их оказалось столько самых разных - если встать спиной к реке, а лицом к кораблю Кати Сарк - то нужно обойти корабль справа и вдоль него по улочке вверх. Там же оказался местный рынок - и мы пожалели, что уже поели :) можно было спокойно поесть и здесь, на любой вкус. Ещё в небольшом магазинчике на рынке парни делают и продают fudgе разных вкусов, совершенно сумасшедших. Мы попробовали разных, пришлось купить сразу три вида. В местном ресторанчике, маленький, простенький такой - fish & chips оказался всего 7 или 8 фунтов. В центре Лондона обычно 13-14. Хозяин ресторана родом с Кипра, он принимает заказы и приносит еду и пиво. А его жена готовит на кухне. Было очень мило и приятно у них пообедать. В целом Гринвич очень понравился. Маленький, тихий, зелёный райончик и совершенно не скучный. И, кстати, хозяин ресторана сказал, что на Кати Сарк за свой счёт ходить не стоит - дорого и смотреть особо нечего :)"
3,март 2019 г. • Для двоих,"5,0 из 5 кружков",Гринвич.,"А вы бывали на гринвиче?))при хорошей погоде видимость отличная! Вид на весь Лондон.  Главное подниматься не спеша, по самой пологой дорожке) Белки там сумашедшие)"
4,март 2019 г. • С друзьями,"5,0 из 5 кружков",Приятный парк.,"Очень милый парк, ухоженный (как и все парки в Лондоне), красивый даже ранней весной, сочетание зелёного газона, россыпей нарциссов и пока ещё голых деревьев - совершенно волшебное. С холма открывается красивый вид, ну и конечно, знаменитый нулевой меридиан - обязателен для посещения.Смешной лайфхак - выбирайте дождливую погоду, даже в выходной день при таком раскладе было очень мало людей, и на меридиане можно было хоть лежать - никого не было :) В обычное время тут не протолкнуться от любителей селфи."
5,окт. 2018 г.,"5,0 из 5 кружков",Волшебно,"Самый потрясающий район Лондона,как тут нереально красиво.один университет что стоит красоты неописуемой  .обязателен к посещению"
6,авг. 2018 г. • Семейный отдых,"5,0 из 5 кружков",Интересно,"Помимо обсерватории, потрясающий вид сверху, парк и музей ВМС Великобритании с кафешкой внутри))) Очень рекомендуем взять аудио гид."
7,нояб. 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков","Гринвичский меридиан. Стоит того, чтобы увидеть","Лучше приезжать сюда на автобусе, который довезет вас до верхнего входа в парк. Оттуда приятнее и легче прогуляться по великолепному парку. Знаменитый гринвичский меридиан расположен не на открытом месте, а немного в закоулке на стене обсерватории, но вы легко найдете его по оживленному движению людей. Да, он всего лишь металлическая линия на стене, но как много он значит! К тому же с площади у обсерватории открывается красивейший вид на Морской Королевский колледж и небоскребы Собачьего острова."
8,апр. 2017 г. • Семейный отдых,"5,0 из 5 кружков",Очень красивое место!,"Природа потрясающая, много цветов, огромные площади. Большое удовольствие - просто погулять, даже если не дойдете до обсерватории!"
9,март 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков",А Вы знаете...,"Кстати, британцы, называя это место никогда не произносят звук ""В"". Для них это ""Гринич"" (с грассированием на ""р""). А около обсерватории стоит памятник Гагарину.  Именно НАШЕМУ Юрию.       Вот как то так. А в целом - неплохое место для пикника и отдыха. Хороший вид с холма. Можно затем спуститься вниз и зайти в морской музей (тоже интересно)."
0,авг. 2017 г.,"5,0 из 5 кружков",В Гринвич надо ехать в хорошую погоду.,"Гринвич - великолепный парк, музей. Подъем достаточно тяжелый, но, есть специальная дорога, которая приспособлена для инвалидных колясок. она легче и для пешего подъема. Правда, немного дальше по расстоянию. Когда поднимешься на самый верх, замечательный вид на Лондон! Советую посетить."
1,янв. 2018 г. • С друзьями,"5,0 из 5 кружков",Туристическое место - обязательно для посещения,"Место интересно не только нулевым меридианом, где стоит очередь на фото. Предлагается довольно интересная информация. Есть аудиогид, кафе, сувенирный магазин.Лучше всего добираться сюда от метро Катти Сарк."
2,сент. 2017 г. • С друзьями,"5,0 из 5 кружков",Хороший отдых на весь день,"Гринвич находится на окраине Лондона и на его посещение рекомендую выделить целый день.Добираться лучше всего на катере (либо круизный, либо на MBNA Thames Clippers, который включены в сеть транспорта Лондона). Время в пути - минут 50 от пирса Вестминстера или 20 минут от Тауерского моста).На самом Гринвиче рекомендую посетить Обсерваторию, Парк, Университет. Детям будет также интересен Катти Сарк, а любителям военных музеев - Морской музей."
3,окт. 2017 г. • С друзьями,"5,0 из 5 кружков",Вверх до нулевого меридиана,"Гринвич находятся далековато от центра Лондона, но можно совместить его посещение с прогулкой на корабле по Темзе. Тогда впечатлений будет еще больше. Правда от причала до обсерватории идти прилично, да еще и вверх по холму. Но это того стоит. Помимо обсерватории, там есть очень красивый большой парк, несколько музеев и даже... памятник Гагарину! А вид с холма просто роскошный!"
4,окт. 2017 г. • Семейный отдых,"5,0 из 5 кружков",Интересно и познавательно ,"Наше путешествие в гринвич мы совместили с круизом по темзе  , прокатившись на кораблике, но не на быстром а обычном, не спеша в течении получаса нам рассказывали много интересного  (только на английском). Обсерватория не большая, но взяв аудиогид на русском, погружаешься в интересные инженерные открытия и увлекательные истории про мореплавателей. Это место, где можно оказаться одной ногой на востоке, а другой на западе. Если окажетесь здесь  в 13:00, то сможете точно подвести часы по Гринвичу - в этот момент приземляется ""шар времени"".Обсерватория расположена на высоком холме в прекрасном парке, у подножия парка расположен военно-морской колледж и музей, которые потом тоже можно посетить. Всю эту панораму можно увидеть из специальной темной комнаты обсерватории, в которой расположена камера-обскура, явившаяся прототипом современных фотоаппаратов. Можно еще посетить и планетарий, где за отдельную плату, мы посетили шоу, очень интересно. Кстати по дороге с корабля в гринвич попали на гринвич маркет, не большой рынок, где отведали разные вкусняшка, а по дороге обратно из обсерватории, насладились парком, прямо на наших глазах там приземлился вертолёт и через какое то время взлетел... Дети впечатлились больше этим событием, чем посещением Гринвича:) "
5,нояб. 2016 г. • С друзьями,"5,0 из 5 кружков",Гринвич,"Очень красивый парк! Красивое место, приятно погулять. Интересный королевский музей, морской музей, обсерватория. Шикарные виды на город. Закладывайте на Гринвич побольше времени)"
6,сент. 2017 г.,"5,0 из 5 кружков",Где проходить нулевой меридиан,"Приехали сюда специально, чтобы увидеть, где проходит нулевой меридиан. Во дворе обсерватории проходит специальная черта, обозначающая нулевой меридиан. В здании обсерватории есть экспозиция."
7,авг. 2017 г. • Для двоих,"5,0 из 5 кружков",Начало отсчета,"Считаю. что путешественникам, прибывшим в Лондон, обязательно нужно посетить  Королевскую обсерваторию в Гринвиче, поскольку там проходит нулевой меридиан, от которого вся Земля делится на часовые пояса и отсчитывается время, определяются координаты и на суше и на море. Это как в Португалии туристы посещают мыс Рока, как самую западную точку Европейского материка.         Кроме того, что вам удастся встать одной ногой в западном , а другой в восточном полушарии, вы узнаете еще очень много интересного о том, как развивалась астрономия, как были созданы точные хронометры (кстати, они до сих пор в действующем состоянии), как используются телескопы для для определения координат, увидите телескоп, нацеленный на нулевой меридиан. Услышать подробную историю вам помогут русские аудиогиды. Обсерватория расположена на высоком холме в прекрасном парке, у подножия парка расположен военно-морской колледж и музей. которые потом тоже можно посетить. Всю эту панораму можно увидеть из специальной темной комнаты обсерватории, в которой расположена камера-обскура, явившаяся прототипом современных фотоаппаратов. Можно еще посетить и планетарий. Очень советую."
8,авг. 2017 г.,"5,0 из 5 кружков","Это, пожалуй, самое сильное впечатление от Лондона","Место потрясающей красоты и сильной энергетики. Очень живописные виды. Здесь можно провести несколько часов, поскольку там есть и живописный парк, и музей, и планетарий, и обсерватория, и много чего другого. Добираться удобнее всего на речном автобусе, оплачивая картой oyster."
9,июль 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков","Удивительно! Небольшая территория, но люди как то постепенно заполняют пространство и освобождают.","Добралась самым дешевым способом: на автобусе. Правда долго от центра. Наличие русского аудигода - просто замечательно, поскольку можешь подробно изучить все экспонаты: историю открытия навигации и т.д. Ну постоять на нулевом меридиане!"
0,нояб. 2019 г.,"5,0 из 5 кружков",Английская Англия недалеко от шумного мегаполиса,"Отличное место, контрастирующее и ""оттеняющее""  по впечатлениям    сам Лондон. Конечно, занимательны  и обсерватория, и парк, и ""Катти Сарк""  неожиданно  любопытна  (пошли за компанию с сыном, но   нисколько не пожалели).  Но больше всего оставила впечатление сама мироутворенная атмосфера милого  небольшого городка  с его тихими улочками, почти домашними пабами.  Именно там, а не в Лондоне, вы можете со вкусом  пообедать  воскресным ростбифом,  или  составить свое представление  о традиционных английских пирогах.  Путь  туда и обратно на кораблике по Темзе - отдельное удовольствие... Рекомендую однозначно!"
1,июль 2019 г. • С друзьями,"5,0 из 5 кружков",Побывать обязательно.,"Выделите день для поездки в Гринвич. Катти Сарк, обсерватория, нулевой меридиан, воено морской музей, есть ещё места, но у нас кончились силы. Морской музей бесплатный, очень впечатляющий. Парк огромный, красивый, с шикарным видом на Лондон. Можно приплыть на катере, можно на метро."
2,май 2019 г. • Семейный отдых,"4,0 из 5 кружков",Меридиан и местный рынок ,"Билеты в Гринвич лучше покупать на их сайте - так дешевле, чем непосредственно в кассе. Можно купить пакет из нескольких услуг. Но мы решили пойти только в саму обсерваторию. Доехали на речном трамвайчике Thames clipper , платили картой oyster. Она умная, не смотря на то, что ехали с пересадкой у Тауэра, списали 7 фунтов в одну сторону. Столько же будет стоить обратно. На входе в обсерваторию всем выдают аудио-гиды, настраивают на нужный язык. Русский есть. Гид интересный - хотя казалось бы проходишь практически по пустым комнатам в начале. Дальше пытаются об’яснить дилемму определения широты и долготы на море в прошлые века. Война между астрономами и часовщиками - кто же получит главный приз? Незадолго до часа дня всех приглашают выйти на улицу, тк в это время будет падать шар с башни, отмечая точное время. Мы не очень поняли куда нас зовут, а отзывы не прочитали заранее. В итоге остались внутри, и только спустя какое-то время поняли, что пропустили главную фишку дня. Ну что ж ... Во дворике на линии меридиана очень много народу, но периодически они разбегаются и уже посвободнее можно сделать фото. После посещения обсерватории можно пойти в планетарий на различные фильмы или погулять по парку. Но у нас такой цели не было - мы просто прошли по парку вниз в поисках ресторана. Их оказалось столько самых разных - если встать спиной к реке, а лицом к кораблю Кати Сарк - то нужно обойти корабль справа и вдоль него по улочке вверх. Там же оказался местный рынок - и мы пожалели, что уже поели :) можно было спокойно поесть и здесь, на любой вкус. Ещё в небольшом магазинчике на рынке парни делают и продают fudgе разных вкусов, совершенно сумасшедших. Мы попробовали разных, пришлось купить сразу три вида. В местном ресторанчике, маленький, простенький такой - fish & chips оказался всего 7 или 8 фунтов. В центре Лондона обычно 13-14. Хозяин ресторана родом с Кипра, он принимает заказы и приносит еду и пиво. А его жена готовит на кухне. Было очень мило и приятно у них пообедать. В целом Гринвич очень понравился. Маленький, тихий, зелёный райончик и совершенно не скучный. И, кстати, хозяин ресторана сказал, что на Кати Сарк за свой счёт ходить не стоит - дорого и смотреть особо нечего :)"
3,март 2019 г. • Для двоих,"5,0 из 5 кружков",Гринвич.,"А вы бывали на гринвиче?))при хорошей погоде видимость отличная! Вид на весь Лондон.  Главное подниматься не спеша, по самой пологой дорожке) Белки там сумашедшие)"
4,март 2019 г. • С друзьями,"5,0 из 5 кружков",Приятный парк.,"Очень милый парк, ухоженный (как и все парки в Лондоне), красивый даже ранней весной, сочетание зелёного газона, россыпей нарциссов и пока ещё голых деревьев - совершенно волшебное. С холма открывается красивый вид, ну и конечно, знаменитый нулевой меридиан - обязателен для посещения.Смешной лайфхак - выбирайте дождливую погоду, даже в выходной день при таком раскладе было очень мало людей, и на меридиане можно было хоть лежать - никого не было :) В обычное время тут не протолкнуться от любителей селфи."
5,окт. 2018 г.,"5,0 из 5 кружков",Волшебно,"Самый потрясающий район Лондона,как тут нереально красиво.один университет что стоит красоты неописуемой  .обязателен к посещению"
6,авг. 2018 г. • Семейный отдых,"5,0 из 5 кружков",Интересно,"Помимо обсерватории, потрясающий вид сверху, парк и музей ВМС Великобритании с кафешкой внутри))) Очень рекомендуем взять аудио гид."
7,нояб. 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков","Гринвичский меридиан. Стоит того, чтобы увидеть","Лучше приезжать сюда на автобусе, который довезет вас до верхнего входа в парк. Оттуда приятнее и легче прогуляться по великолепному парку. Знаменитый гринвичский меридиан расположен не на открытом месте, а немного в закоулке на стене обсерватории, но вы легко найдете его по оживленному движению людей. Да, он всего лишь металлическая линия на стене, но как много он значит! К тому же с площади у обсерватории открывается красивейший вид на Морской Королевский колледж и небоскребы Собачьего острова."
8,апр. 2017 г. • Семейный отдых,"5,0 из 5 кружков",Очень красивое место!,"Природа потрясающая, много цветов, огромные площади. Большое удовольствие - просто погулять, даже если не дойдете до обсерватории!"
9,март 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков",А Вы знаете...,"Кстати, британцы, называя это место никогда не произносят звук ""В"". Для них это ""Гринич"" (с грассированием на ""р""). А около обсерватории стоит памятник Гагарину.  Именно НАШЕМУ Юрию.       Вот как то так. А в целом - неплохое место для пикника и отдыха. Хороший вид с холма. Можно затем спуститься вниз и зайти в морской музей (тоже интересно)."
0,авг. 2017 г.,"5,0 из 5 кружков",В Гринвич надо ехать в хорошую погоду.,"Гринвич - великолепный парк, музей. Подъем достаточно тяжелый, но, есть специальная дорога, которая приспособлена для инвалидных колясок. она легче и для пешего подъема. Правда, немного дальше по расстоянию. Когда поднимешься на самый верх, замечательный вид на Лондон! Советую посетить."
1,янв. 2018 г. • С друзьями,"5,0 из 5 кружков",Туристическое место - обязательно для посещения,"Место интересно не только нулевым меридианом, где стоит очередь на фото. Предлагается довольно интересная информация. Есть аудиогид, кафе, сувенирный магазин.Лучше всего добираться сюда от метро Катти Сарк."
2,сент. 2017 г. • С друзьями,"5,0 из 5 кружков",Хороший отдых на весь день,"Гринвич находится на окраине Лондона и на его посещение рекомендую выделить целый день.Добираться лучше всего на катере (либо круизный, либо на MBNA Thames Clippers, который включены в сеть транспорта Лондона). Время в пути - минут 50 от пирса Вестминстера или 20 минут от Тауерского моста).На самом Гринвиче рекомендую посетить Обсерваторию, Парк, Университет. Детям будет также интересен Катти Сарк, а любителям военных музеев - Морской музей."
3,окт. 2017 г. • С друзьями,"5,0 из 5 кружков",Вверх до нулевого меридиана,"Гринвич находятся далековато от центра Лондона, но можно совместить его посещение с прогулкой на корабле по Темзе. Тогда впечатлений будет еще больше. Правда от причала до обсерватории идти прилично, да еще и вверх по холму. Но это того стоит. Помимо обсерватории, там есть очень красивый большой парк, несколько музеев и даже... памятник Гагарину! А вид с холма просто роскошный!"
4,окт. 2017 г. • Семейный отдых,"5,0 из 5 кружков",Интересно и познавательно ,"Наше путешествие в гринвич мы совместили с круизом по темзе  , прокатившись на кораблике, но не на быстром а обычном, не спеша в течении получаса нам рассказывали много интересного  (только на английском). Обсерватория не большая, но взяв аудиогид на русском, погружаешься в интересные инженерные открытия и увлекательные истории про мореплавателей. Это место, где можно оказаться одной ногой на востоке, а другой на западе. Если окажетесь здесь  в 13:00, то сможете точно подвести часы по Гринвичу - в этот момент приземляется ""шар времени"".Обсерватория расположена на высоком холме в прекрасном парке, у подножия парка расположен военно-морской колледж и музей, которые потом тоже можно посетить. Всю эту панораму можно увидеть из специальной темной комнаты обсерватории, в которой расположена камера-обскура, явившаяся прототипом современных фотоаппаратов. Можно еще посетить и планетарий, где за отдельную плату, мы посетили шоу, очень интересно. Кстати по дороге с корабля в гринвич попали на гринвич маркет, не большой рынок, где отведали разные вкусняшка, а по дороге обратно из обсерватории, насладились парком, прямо на наших глазах там приземлился вертолёт и через какое то время взлетел... Дети впечатлились больше этим событием, чем посещением Гринвича:) "
5,нояб. 2016 г. • С друзьями,"5,0 из 5 кружков",Гринвич,"Очень красивый парк! Красивое место, приятно погулять. Интересный королевский музей, морской музей, обсерватория. Шикарные виды на город. Закладывайте на Гринвич побольше времени)"
6,сент. 2017 г.,"5,0 из 5 кружков",Где проходить нулевой меридиан,"Приехали сюда специально, чтобы увидеть, где проходит нулевой меридиан. Во дворе обсерватории проходит специальная черта, обозначающая нулевой меридиан. В здании обсерватории есть экспозиция."
7,авг. 2017 г. • Для двоих,"5,0 из 5 кружков",Начало отсчета,"Считаю. что путешественникам, прибывшим в Лондон, обязательно нужно посетить  Королевскую обсерваторию в Гринвиче, поскольку там проходит нулевой меридиан, от которого вся Земля делится на часовые пояса и отсчитывается время, определяются координаты и на суше и на море. Это как в Португалии туристы посещают мыс Рока, как самую западную точку Европейского материка.         Кроме того, что вам удастся встать одной ногой в западном , а другой в восточном полушарии, вы узнаете еще очень много интересного о том, как развивалась астрономия, как были созданы точные хронометры (кстати, они до сих пор в действующем состоянии), как используются телескопы для для определения координат, увидите телескоп, нацеленный на нулевой меридиан. Услышать подробную историю вам помогут русские аудиогиды. Обсерватория расположена на высоком холме в прекрасном парке, у подножия парка расположен военно-морской колледж и музей. которые потом тоже можно посетить. Всю эту панораму можно увидеть из специальной темной комнаты обсерватории, в которой расположена камера-обскура, явившаяся прототипом современных фотоаппаратов. Можно еще посетить и планетарий. Очень советую."
8,авг. 2017 г.,"5,0 из 5 кружков","Это, пожалуй, самое сильное впечатление от Лондона","Место потрясающей красоты и сильной энергетики. Очень живописные виды. Здесь можно провести несколько часов, поскольку там есть и живописный парк, и музей, и планетарий, и обсерватория, и много чего другого. Добираться удобнее всего на речном автобусе, оплачивая картой oyster."
9,июль 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков","Удивительно! Небольшая территория, но люди как то постепенно заполняют пространство и освобождают.","Добралась самым дешевым способом: на автобусе. Правда долго от центра. Наличие русского аудигода - просто замечательно, поскольку можешь подробно изучить все экспонаты: историю открытия навигации и т.д. Ну постоять на нулевом меридиане!"
