,date,rating,title,review
0,авг. 2020 г.,"5,0 из 5 кружков",Много скульптур и интересных арт-объектов,"Гайд-парк - четвертый по размеру из восьми королевских парков Лондона. Мы жили рядом с ним, поэтому бывали здесь часто. Появился парк в 1872 году. В парке есть Уголок ораторов, где в свое время выступали Карл Маркс и Джордж Оруэлл. Но сейчас суда приходят в основном не митинговать, а отдохнуть на природе. В парке пруды, попугаи, лебеди, белки, много скульптур и интересных арт-объектов, фонтаны, и даже кладбище домашних животных 19 века.Вход бесплатный. Ворота парка открываются ежедневно в 5 утра и закрываются в полночь."
1,авг. 2020 г.,"5,0 из 5 кружков",Прекрасное место для прогулок,"Мой отель находился рядом и потому несколько дней мой день начинался с прогулок по этому парку - он лежал на пути к моим целям в Лондоне.Прекрасное место для прогулок. Свежая ежевика, прекрасные пруды, попугаи белки, едящие с ваших рук. Прекрасные люди.Ощущение покоя и благополучия, безопасность и красота.Искренне рекомендую для посещения!"
2,май 2019 г.,"5,0 из 5 кружков",Командировка,"В Гайд-парке я была, если не ошибаюсь раз 6 или 7, замечательное место, необыкновенное, чисто, приятно походить и покормить белок, а в мае 2019 года мы попали на праздники, и в Гайд-парке было очень много народу, с детьми, многие расположились на лужайках, так как было жарко. Мы также прошлись по парку, посмотрели на уток, голубей, на отдыхающих с семьями. Также интересно пройтись по парку и посмотреть на красивые деревья, кустарники и цветы, которых нет в Узбекистане, рекомендую."
3,март 2020 г. • Путешествие в одиночку,"5,0 из 5 кружков",Большой красивый парк,"Очень красивый парк, где много белочек, попугаев и разных других птиц) не забудьте взять всякие вкусняшки)) потому что можно приманить их себе на руку и не только дети, но и взрослые приходят в восторг)) есть озеро, монумент принцессе Диане, кафешки и лавочки для отдыха) отличное место для пикника в тёплое время) "
4,февр. 2020 г.,"5,0 из 5 кружков",Зарядись энергией,"Одно из моих любимых мест Лондона. Прогулка по парку заряжает энергией и позитивом на весь день. Парк прекрасен как на восходе, так и в полуденные часы. Рекомендую особое внимание уделить монументу Альберта, прудам и потрясающим белкам, которых в парке очень много. "
5,янв. 2020 г.,"5,0 из 5 кружков",Красивый английский парк,Парк в центре Лондона с большим озером. Есть лодочная станция. Огромные партеры. Есть цветники и тенистые аллеи. С одной стороны парк примыкает к одному из королевских дворцов и королевскому саду с оранжереей. В парке есть площадка с аттракционами и колесом обозрения. В парке открыт мемориал памяти принцессы Дианы. 
6,сент. 2019 г.,"5,0 из 5 кружков",Гуляю всегда с пикником,"Гайд парк люблю! И в каждую свою поездку стараюсь выбраться в этот парк на пикник, с пледиком или без, просто на кресле посидеть с бутербродом. Люблю его почему-то больше других парков за особую атмосферу! И кормлю белок всегда )"
7,сент. 2019 г. • С друзьями,"5,0 из 5 кружков",Отлично. ,"Шикарный парк, с хорошими дорожками и водоемами! Очень чисто. Люди отдыхают прямо на траве :) Кругом бегают белки, что для людей из стран СНГ - поразительно! "
8,янв. 2019 г.,"5,0 из 5 кружков",Гайд парк,"При посещения Лондона обязательно нужно посетить Гайд-Парк. Я когда прилетаю в Лондон, всегда прихожу в Парк, захожу в кафе у пруда, беру кофе, пирожное и иду к траве. В любом месте можно сесть или лечь и просто отдыхать, читать книгу, общаться с друзьями или просто лежать и мечтать/ Энергетически очень приятное место. По утрам иногда бегаю."
9,июнь 2019 г.,"5,0 из 5 кружков",Замечательно!,"Speaker's corner in Hyde Park -ожидала увидеть какое-то возвышение из камня, типа коробки. Но это прпосто маленькое кафе, где можно посидеть и обсудить новости."
0,нояб. 2019 г. • Семейный отдых,"5,0 из 5 кружков",И осенью Гайд-Парк прекрасен,"Место для созерцания природы, где не хочется никуда торопиться. Ведичественный английский парк. Много практически ручных животных: белки, лебеди, утки. Возьмите с собой хлеб. Животные подходят совсем близко. "
