,date,rating,title,review
0,февр. 2020 г.,"5,0 из 5 кружков",Лучший пляж!,"Обязательное к посещению место! Пляж нереальной красоты! Большая часть людей тусуется в начале пляжа, возле пещеры. Там поглубже, что актуально во время отлива. Мы же обычно уходили в самый дальний конец, там почти никого нет, красивые скалы, отличный вид."
1,март 2020 г. • Для двоих,"5,0 из 5 кружков",Лучший пляж рядом с Ао Нанг,"Отличное место, недалеко от Ао Нанг, на острове Рейли.Можно добраться на лодке, либо пешком - 10 минут от Рейли Вест"
2,янв. 2020 г. • Семейный отдых,"4,0 из 5 кружков",Своеобразное место,"Пляж достаточно красивый. Вода не самая чистая, но вполне хорошая. Сам пляж с чистым белым песком, очень большой, но тем не менее народу на пляже оооочень много, на самом пляже и в воде. Скала, конечно, очень красивая, но исключительно для фото. Очень интересно, что еда продается с лодок, еда есть всякая: и том ям и кукуруза, и пиво в пакетиках тоже продадут:) туалета так и не нашли, но можно попросится в отеле. Мы ехали с совершенно другими ожиданиями, этот пляж их не оправдал, поэтому судить сложно. Но впечатления очень положительные."
3,дек. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Восхитительный пляж для всей семьи ,"Лучший пляж Рейли! Входит в топ 10 пляжей Тайланда. Кто говорит что много людей приехал сюда с обед и от лодки не отходил больше 10 метров. Прогуляйтесь по всему побережью, загляните в пещеру на дальнем конце пляжа - это восхитительно и подняться сможет почти любой но в удобной обуви. Утром и вечером на пляже восхитительно. Насладитесь заходом солнце именно на этом пляже. Вечером видно как летят по небу толи большие летучие мыши толи птицы. Песок мелкий и мягкий. Возьмите каяк и приплывите сюда на закате. Наслаждайтесь друзья. "
4,авг. 2019 г.,"5,0 из 5 кружков",Скалы,Красивое место. В Краби повсюду прекрасные известняковые скалы. Рекомендую к посещению. Море яркое теплейшее и спокойное
5,дек. 2019 г.,"5,0 из 5 кружков",три в одном,"Я бы разделил пляж на три зоны. Восточная часть экскурсионная, средняя - пляжная-попсовая и западная часть - отшельническая. Поэтому каждый найдет себе здесь местечко по вкусу. Те, кто пишет, что здесь тесно и шумно, значит был с экскурсией и в принципе не мог оценить западную половину. Хотя надо признаться, что большинство узнают об этом пляже именно из экскурсии по четырем островам. В восточной части кроме достопримечательностей присутствует развлекаловка в виде скалолазов, которых можно наблюдать утром и вечером. Во время большого прилива от пляжа остается узкая полоска. Кто же приплывает сюда на пляжный отдых, то в основном располагаются по центру ближе к лонгтейлам с едой. Отшельники бросают кости в западной части, более спокойной, особенно после 10 утра, когда лонгтейлы перестают причаливать с этой стороны. Как по мне, то по цене-качеству - это самый лучший пляж в Ао Нанге."
6,нояб. 2019 г.,"5,0 из 5 кружков",Красивейший пляж на Рейлей,"Мы приплыли из Ао-Нанга довольно рано, около 8.00, поэтому застали пляж довольно пустым. Потом, конечно, понаехали. Сюда приплывают лодочки со снедью. Цены вполне нормальные, соизмеримые с ценами в Ао-Нанге. Можно перекус с собой не тащить. Например, том ям стоил 120 бат (правда, порция была поменьше обычной кафешной), пад тай с морепродуктами - 80.Если вы неплохой пловец, обязательно сплавайте вокруг скалы - там такие сталактиты, а еще грот!"
7,нояб. 2019 г. • Для двоих,"4,0 из 5 кружков",Красиво и чисто ,"Действительно красивый и более-менее чистый пляж.Всего за 100 бат от АоНанга вас туда довезут на лодке. Есть там особо негде а там где есть еда , она дорогая и того не стоит. Съездить туда можно только для того чтобы полюбоваться видами скал и сделать пару фотографий. "
8,февр. 2019 г.,"5,0 из 5 кружков",Классное место!,"Очень живописный пляж! Но приезжать лучше рано утром, когда мало людей. Иначе можно не найти место.Иногда был закрыт туалет, что не очень удобно."
9,апр. 2019 г. • Для двоих,"4,0 из 5 кружков",Знакомство с Пещерой Пхра Нанг и историей принцессы 👸🏼 ,"Ничего особенного на первый взгляд 👀, ну куча мужских достоинств в пещере .. так что мы сначала оценили бомбический пляж 🏖 а к 11 ти часам и его популярность ! Народу было как в Московском метро в час пик 😄.   Потом уже подошли «алтарю» и ощутили всю святость пещеры для тайцев , это мы прыгаем , фоткаемся и смеёмся , а они отдают дань уважения принцессе Пхра Нанг и ухаживают за пещерой. Как раз 11.04.2019 было Др моей подруги , так я забацала видео поздравление и естественно пожелала ей активного мужчину в её жизни 😂, по фото ниже вы все поймёте !  К сожалению , я не восприняла пещеру в серьёз , а вот история принцессы 👸🏼 интересная , прочтите , прежде чем посетить)))) • по пути к Пхра Нанг , есть View Point  не поленитесь и заберитесь вас ждут чарующие виды😍(желательны кроссовки) !!! P.s пляж 🏝 в отлив вообще прекрасен, можно пролезть на скалы с левой стороны.  А вообще берите каяк , увидите куда больше ))) "
