,date,rating,title,review
0,янв. 2023 г. • Путешествие в одиночку,"5,0 из 5 кружков",Парк с белочками,"Первый день я просто прошла через парк, но заметила белочек, которые с удовольствием подходят к людям, на второй день я уже пришла с арахисом и кормила белочек сама. Очень интересное место для посещения с детишками."
1,сент. 2021 г.,"5,0 из 5 кружков",Можно найти уединённые  места,"Часто выбираемся с детьми погулять в теплое время года. Есть укромные уголки, известные только местным, так что большое количество туристов нам не мешает."
2,янв. 2022 г.,"5,0 из 5 кружков",Потрясающей  красоты  парк.,"очень  красивый  парк, в  пруду  обитают  лебеди, гуси  и  утки, повсюду  белки.  Если  повезет, увидите  потомков  пеликанов  Астры  и  Ханя  (угадайте  из  какого  города  они  прибыли), презентованных  русским  послом  английскому  королю  300  лет  назад. "
3,дек. 2021 г.,"5,0 из 5 кружков",Отличный парк в самом центре Лондона,"Парк, который неизменно оставляет неизгладимые впечатления во время посещения Лондона. Особенностью этого парка по соседству с Букингемском дворцом является невероятно активное присутствие разных пернатых и серых белочек, которые скачут в большом количестве по территории всего парка. Белочек подкармливают, но это опасно ! Пока я сидел на скамейке в парке, то стал свидетелем как белочки дважды кусали девушек, которые кормили их с руки. Одна очень наглая белка забралась на мою ногу, но я благоразумно решил ее не трогать и она быстро убежала, утратив ко мне интерес. Кроме того, здесь есть утки, гуси, лебеди, пеликаны, голуби, даже попугаи и другие неизвестные мне виды птиц. По территории парка протекает канал, есть пару кафе, туалеты, скамейки. Отличное место для отдыха в самом центре столицы Великобритании."
4,февр. 2020 г.,"5,0 из 5 кружков","Гуляйте спокойно, велосипедисты вам не помешают!","Нам парк понравился! И особенно его хозяйки, огромные и наглые белки)) Птиц всяких разных здесь огромное количество, только по видам, говорят, около тысячи! А сколько их здесь в штуках...!)) Вообще парк довольно старый, ему уже более 400 лет, хотя, конечно, за это время он неоднократно перестраивался. Очень живописно выглядит озеро и острова. Центром всей парковой композиции является мост, с которого открываются замечательные картинки.Довольно прогрессивным является то, что в столь многолюдном парке запрещено кататься на велосипедах, так что гулять здесь весьма комфортно."
5,янв. 2021 г.,"5,0 из 5 кружков",Шикарный парк,"Очень приятное место в центре Лондона для прогулок, отсюда открываются шикарные виды. В парке разводят птиц, и в зависимости от времени приходы можно увидеть разных птиц, таких как пеликанов, попугаев, лебедей. В парке отличное кафе и много киосков с фастфудом."
6,июль 2020 г.,"5,0 из 5 кружков",Красота,"Наверно это самый красивый и уютный парк Лондона. Много белок, лебедей, уток. Всегда приятно там провести время."
7,янв. 2020 г. • Для двоих,"5,0 из 5 кружков",Чудесный парк,Сент-Джеймсский парк (St. James’s Park) - старейший парк в Лондоне.  Назван в память о когда-то стоявшей здесь богадельне во имя св. Джеймса он же св.. Яков. Купил парк Генрих VIII. В начале девятнадцатого века парк приобрел знакомый нам вид. Из пробегавшего через него канала сделали озеро
8,нояб. 2019 г. • С друзьями,"5,0 из 5 кружков",Райский островок,"Прилетела к подруге в конце ноября.Утром решили вместе погулять с собачкой и ( о чудо) в пяти минутах ходьбы от ее дома , попадаем в совершенно нереальное место! Чудесные деревья, огромные ивы и ... пеликаны, попугаи, лебеди , белки и масса водоплавающих! Я просто в шоке была... они живут без вольеров, и можно покормить и погладить, а рядом.... Букингемский дворец, улица Пикадилли и Биг Бен! Обязательно посетите этот парк) Я в восторге)"
9,сент. 2019 г.,"5,0 из 5 кружков",Есть даже пеликаны!,"Зачем летать на далёкие острова, когда, чтобы увидеть и погладить НАСТОЯЩИХ ЖИВЫХ ПЕЛИКАНОВ, достаточно прийти в конце сентября в этот прекрасный парк. А какие цветочные композиции, белки с размером в кошку! Вообщем, прекрасно!"
