,date,rating,title,review
0,окт. 2020 г.,"5,0 из 5 кружков",Небоскрёб Shard виден везде в городе,"""Осколок"" самое высокое здание в Лондоне - почти 310 м в высоту. Помимо самого шикарного вида в Лондоне сам небоскрёб тоже впечатляет и виден сам практически ото всюду в городе. С 73 этажа мне понравилось больше всего! Конечно должно повезти с погодой и очередь довольно внушительная. Вид однозначно лучше чем с колеса обозрения. Всем рекомендую - не пожалеете!"
1,март 2019 г.,"5,0 из 5 кружков",Вид на весь Лондон,С высоты башни открывается панорамный вид на весь Лондон. Тут можно и покушать и пофотографироваться и позагорать. Вид лучше чем с чертова колеса.
2,июль 2019 г.,"5,0 из 5 кружков",Самая высокая смотровая площадка Лондона,"Классный вид на весь Лондон! С утра очереди почти нет. Очень быстрый подъем на двух лифтах. Смотровая площадка находится на нескольких уровнях. Самый крутой вид с 72 этажа! В солнечную погоду особенно! Ну и альбом с фотками на память, тоже здорово  иметь, не так это и дорого!"
3,май 2019 г.,"5,0 из 5 кружков",Shard," Рекомендую приобрести карту Лондон пасс туда входят 60 достопримечательностей и Shard в том числе! Лондон пасс на 3 дня Стоит 112£, а просто билет на shard стоит 42£ с Взрослого и 35£ с Ребенка. Если бы не Карта Лондон пасс мы бы не посетили его, на троих ну очень дорого выходит."
4,апр. 2019 г. • Для двоих,"5,0 из 5 кружков",Посещение смотровой площадки в небоскребе Шард. ,"Очень красивая панорама открывается с 72 этажа. В день когда мы были была дымка и видимость была не очень хорошая.если будет дождь и туман, то смотреть будет не на что. Так что имеет смысл покупать билеты с гарантией на случай плохой погоды. На обеих смотровых площадках на 69 этаже и на 72 есть бары. Там можно купить сок или что покрепче. Есть попкорн и мороженое. На входе все проходят досмотр службы безопасности. Нельзя проносить стекло и алкоголь. "
5,март 2019 г.,"5,0 из 5 кружков","Интересный опыт, правда хватает одного раза","Действительно увидеть Лондон с такой высоты - незабываемое впечатление, которое останется с вами еще долгое время. Есть несколько способов сделать это посещение ярким и необременительным.1. Покупайте билеты заранее, на сайте это можно сделать. Если купите за 1-13 дней до предполагаемого посещения, то сможете сэкономить деньги.2. Покупал билет fast track, без шампанского и прочей мишуры. 3. Выбрал раннее время, в районе 11:00 утра. Туристов не так много и можно будет спокойно все рассмотреть и сфотографировать себя или компанию, с которой вы пришли.Обязательно узнайте, какие мероприятия проходят в этот день. Может вы фанат клубных тусовок и вам хочется потанцевать и выпить бокал шампанского на высоте более 300 м."
6,сент. 2018 г. • С друзьями,"4,0 из 5 кружков",Забавная развлекуха,"Это смотровая площадка самого высокого небоскрёба Западной Европы и пятого по высоте вообще в Европе. Остальные 4 шуки - в Москва-Сити). Вид, конечно, впечатляющий, но цена подъёма высоковата. Имеет смысл идти, если у вас London Pass, сэкономите... "
7,март 2019 г. • Для двоих,"5,0 из 5 кружков",1 day of discovering London,"Погода: ветрено и дождливоБилет: London Pass, так как народу было очень мало, то проскочили быстро очередь на распечатку билетов. Поднялись, вид отличный, хоть и было ветрено, Но на 69 этаже очень уютно сели на полу у окон, с кофе. :) "
8,дек. 2018 г. • Для двоих,"2,0 из 5 кружков",Не стоит того,"Посетил данную достопримечательность в конце декабря. Вход по London free pass. Гигантская очередь и ожидание. На то что бы дойти и получить бесплатный входной билет потратили 40 минут. Попросили ещё 20 минут подождать. На входе к лифтам досмотр похлеще чем в аэропорт, попросили снять даже ремень. Вид на Лондон через грязные стёкла на 3 бала."
9,нояб. 2018 г. • Семейный отдых,"5,0 из 5 кружков",Shard очень красив! ,"Всякий раз посетив один из ресторанов в небоскребе удивляюсь и наслаждаюсь!Бронирование столика очень заранее- за две, три недели лучше. Вид изумительно красив! Обязательно к посещению. Любимый город и вид!"
