,date,rating,title,review
0,янв. 2024 г. • Семейный отдых,"5,0 из 5 кружков",Очень впечатляет - не то слово,"Словами не передать восторга от посещения этого легендарного места. Это необходимо увидеть своими словами. Очень колоритно и очень интересно. Есть аудиогиды на разных языках, включая русский. Рекомендую любителям истории и искусства"
1,сент. 2020 г.,"5,0 из 5 кружков",Соборная церковь Святого Петра в Вестминстере,"Вестминстерское аббатство, или соборная церковь Святого Петра в Вестминстере, в готическом стиле было возведено еще в 7 в.. Позже многократно перестраивалось и расширялось, строительство завершилось в 1745 г. Все монархи Великобритании, начиная с 1066 г., были коронованы здесь, 18 из них еще и похоронены. Церковь интересна не только искусным декором (ажурные арки, витражи, богато украшенные интерьеры), но еще и как пантеон известных британцев, здесь порядка 3000 надгробий. Фото- и видеосъемка в аббатстве запрещены. Стоимость билета для взрослых - 18 фунтов."
2,сент. 2020 г.,"4,0 из 5 кружков",Вестминстерское аббатство,"Вестминстерское аббатство-в общем, произвело не плохое впечатление ,как внутри так и снаружи ,слушали арган."
3,нояб. 2019 г.,"5,0 из 5 кружков",Дом Господа,Величественные традиционные петые вечерни.Тихие молитвенные утрени.Ладан. Иконы. Присутствие Господне.
4,сент. 2019 г.,"5,0 из 5 кружков",Нам повезло однажды,"В одну из поездок, когда я посетила Лондон со своей сестрой, нам посчастливилось послушать хор мальчиков в Вестминстерском аббатстве. Мы встали в очередь, пускали на службу только католиков и то, как мы поняли, не всех.Но нас почему-то пустили. Потом выдали брошюры с псалмами. Мы хотели присеть на галерке, но не тут-то было.Какой-то церковный служащий усадил нас в 1м ряду!При этом справа от нас оказались именные ложи английской знати, которые были заполнены полностью.Но мы не из робкого десятка и тоже , как и все, вставали, когда надо и открывали рот(даже моя сестра, которая знает только my name is Ira).Потом хор мальчиков очаровал всех волшебным пением.Это невозможно забыть."
5,нояб. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Орган в Вестминстерском аббатстве,"Потрясающие впечатления остались после посещения Вестминстерского аббатства вечером. Звучание органа в старейшем храме Лондона. Где проходят венчания, коронации королевских особ, а также погребения членов королевских семей и известных чиновников, ученых и служителей церкви. Каково смотреть на таблички над захоронениями Уильяма Шекспира, Исаака Ньютона, Вальтера Скотта и др. Кажется что прикасаешься к чему то великому, древнему и в то же время можно дотронуться рукой."
6,февр. 2020 г.,"5,0 из 5 кружков",Westminster Abbey,"Какой же он красивый - #WestminsterAbbey !..Даже подумать не могла, что буду поражена не меньше, чем Собором Парижской богоматери !..Во время обзорной автобусной экскурсии вы не попадете внутрь аббатства (для этого есть отдельная экскурсия, и мы на ней будем немного позже), но в полной мере сможете насладиться великолепными видами фасадов с окнами-«розами»...#советыОтТрансавио #Трансавио #Transavio"
7,март 2020 г. • Для двоих,"4,0 из 5 кружков",Очень Величественно),"Невероятная архитектура аббатства заставляет лишь стоять рядом с открытым ртом)))внутрь, к сожалению заходить нельзя. Но очень хочется) все находится около станции метро Вестминстер. Шпили аббатства видно уже на выходе)) не забудьте взять хорошую камеру, чтобы запечатлеть всю эту красоту)"
8,янв. 2020 г. • Для двоих,"5,0 из 5 кружков",Потрясающе. Одного раза было мало,Два раза были с экскурсоводом. Фотографировать внутри  запрещено. Красота и история на каждом сантиметре. Советую прочитать о Вестминстере прежде чем посетить его. 
9,нояб. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Чудесная служба,"Вот уже много лет в 15:00 проходит ежедневная служба. Длительность не более часа. Для посещения службы, билет в Собор приобретать не требуется. Мы, хоть и православные христиане, очень любим посещать католические службы. Есть возможность в полной мере погрузиться в атмосферу под звуки органа и песнопений, насладиться великолепием готической архитектуры. Эта служба особенно удачная - певчие располагаются совсем рядом, орган прекрасен. Рекомендую!"
